PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,BAU,CR,RAW_MAT_CLK,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,RAW_MAT_CEM,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,IMP_STOR,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,LIME_PROD,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,GLASS_PROD,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,CARBONATE,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,NITRIC_ACID,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,CARBIDE_PROD,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,LUBRI_OILS,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,LUBRI_GREASE,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,PARAFFIN,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,IMP_REFR_AC,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,FIRE_PROT,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,AEROSOLS,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,FLUOR_GLASS,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,SF6_USE,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,PROD_CLK_TRAD,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,PROD_CEM,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5CEM_PRODIND,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5LIME_PRODIPPU,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5GLASS_PRODIPPU,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5CARBONATEIPPU,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5NITRIC_ACIDIPPU,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5CARBIDE_PRODIPPU,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5LUBRI_OILSIPPU,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5LUBRI_GREASEIPPU,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5PARAFFINIPPU,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5REFR_ACIPPU,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5FIRE_PROTIPPU,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5AEROSOLSIPPU,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5FLUOR_GLASSIPPU,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,T5SF6_USEIPPU,,,,,,,,,,1
